"","NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES","BLADE_LENGTH_CM","WIDTH_CM","STIPE_LENGTH_CM","WET_WEIGHT","DRY_WEIGHT","PERCENT_COVER"
"11","KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"12","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"13","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"14","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"15","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"16","KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"17","KEEN ONE","Byrnes",2014,7,19,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",0,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"18","KEEN ONE","Byrnes",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",10,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"19","KEEN ONE","Byrnes",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"20","KEEN ONE","Byrnes",2014,7,21,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"21","KEEN ONE","Byrnes",2014,7,21,"NE Appledore","Devil's Dance Floor","POVI",NA,NA,"10-50",38,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"22","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"23","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",86,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"24","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"25","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"26","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"27","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"28","KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"29","KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"0-10",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"30","KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Broad Cove","TAAD",NA,NA,"0-10",63,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"31","KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Broad Cove","TAAD",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"32","KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"0-10",31,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"33","KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",40,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"34","KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"35","KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"36","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"37","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"38","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"39","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"40","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"41","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"42","KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"43","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"44","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head","POVI",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"45","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",7,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"46","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",11,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"47","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"48","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Magic 8 Ball","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"49","KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Larus Ledge","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"50","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"51","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Pepperrell","TAON",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","Tautoga onitis","keen_fish",NA,NA,NA,NA,NA,NA,NA
"52","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"YOY",52,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"53","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"YOY",9,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"54","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"55","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Pepperrell","TAAD",NA,NA,"0-10",61,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"56","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",12,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"57","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"0-10",79,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"58","KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"59","KEEN ONE","Byrnes",2015,8,11,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"60","KEEN ONE","Byrnes",2016,8,11,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",13,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"61","KEEN ONE","Byrnes",2016,8,11,"NW Appledore","North Head","TAAD",NA,NA,"0-10",4,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"62","KEEN ONE","Byrnes",2016,8,11,"NW Appledore","North Head","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"63","KEEN ONE","Byrnes",2015,8,12,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"0-10",16,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"64","KEEN ONE","Byrnes",2015,8,12,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"0-10",21,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"65","KEEN ONE","Byrnes",2015,8,12,"NE Appledore","Norwegian Cove","POVI",NA,NA,"0-10",9,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"66","KEEN ONE","Byrnes",2015,8,12,"NE Appledore","Norwegian Cove","PSAM",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Winter flounder","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"67","KEEN ONE","Byrnes",2015,8,12,"NE Appledore","Broadway and 42nd","URRE",NA,NA,"10-50",60,80,"Fish","Chordates","Fish",NA,"Spotted Hake","Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis regia","keen_fish",NA,NA,NA,NA,NA,NA,NA
"68","KEEN ONE","Byrnes",2015,8,12,"NW Appledore","Sandpiper Beach","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"69","KEEN ONE","Byrnes",2015,8,12,"NW Appledore","Sandpiper Beach","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"70","KEEN ONE","Byrnes",2015,8,12,"SW Appledore","South Pepperrell","TAON",NA,NA,"0-10",41,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","Tautoga onitis","keen_fish",NA,NA,NA,NA,NA,NA,NA
"71","KEEN ONE","Byrnes",2015,8,13,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",59,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"72","KEEN ONE","Byrnes",2015,8,13,"NE Appledore","Broad Cove","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"73","KEEN ONE","Byrnes",2015,8,13,"NE Appledore","Broad Cove","POVI",NA,NA,"0-10",17,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"74","KEEN ONE","Byrnes",2015,8,13,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"10-50",18,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"75","KEEN ONE","Byrnes",2015,8,13,"NE Appledore","Devil's Dance Floor","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"76","KEEN ONE","Byrnes",2015,8,13,"SW Appledore","South Smith's Cove","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"77","KEEN ONE","Byrnes",2015,8,13,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA
"78","KEEN ONE","Byrnes",2015,8,13,"SW Appledore","South Smith's Cove","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"79","KEEN ONE","Byrnes",2015,8,13,"SW Appledore","South Smith's Cove","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"80","KEEN ONE","Byrnes",2015,8,13,"SW Appledore","South Smith's Cove","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"81","KEEN ONE","Byrnes",2015,8,13,"SW Appledore","South Smith's Cove","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"82","KEEN ONE","Byrnes",2017,8,15,"NE Appledore","Broad Cove","POVI",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"83","KEEN ONE","Byrnes",2017,8,15,"NE Appledore","Norwegian Cove","POVI",NA,NA,"50-100",49,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"84","KEEN ONE","Byrnes",2017,8,15,"NW Appledore","8 Ball","POVI",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA
"85","KEEN ONE","Byrnes",2017,8,15,"NW Appledore","North Head","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"86","KEEN ONE","Byrnes",2017,8,15,"NW Appledore","North Head","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"87","KEEN ONE","Byrnes",2017,8,15,"NW Appledore","North Head","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"88","KEEN ONE","Byrnes",2017,8,15,"NW Appledore","North Head","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"89","KEEN ONE","Byrnes",2017,8,15,"NW Appledore","North Head","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
"90","KEEN ONE","Byrnes",2017,8,16,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA
